epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.03921,1.25072,3.29753,1.34876,0.00452,1,0.44965,0.2748,0.6594,3.37607,0.99402,6.668e-05,6.668e-05,6.668e-05
2,11.9799,1.09141,2.97063,1.26235,0.00451,1,0.567,0.41557,0.71305,3.33463,0.98607,0.000149535,0.000149535,0.000149535
3,14.8635,1.03559,2.36889,1.18107,0.00499,1,0.52564,0.40459,0.69594,3.10456,0.98538,0.00023184,0.00023184,0.00023184
4,17.7609,0.95072,2.16592,1.21218,0.45361,0.11264,0.51786,0.34452,0.84371,3.07626,1.09583,0.000313594,0.000313594,0.000313594
5,20.5786,0.90676,1.87815,1.08279,0.00456,1,0.43132,0.25441,1.10262,3.2268,1.20144,0.000394799,0.000394799,0.000394799
6,23.329,0.98444,2.01491,1.16541,0.00452,1,0.46632,0.2708,1.03892,3.20568,1.16231,0.000475453,0.000475453,0.000475453
7,26.1219,1.00466,1.88778,1.1457,0.00439,0.96154,0.5256,0.34315,1.00176,3.14315,1.16135,0.000555558,0.000555558,0.000555558
8,28.9297,0.97283,1.93096,1.20178,0.87706,0.26923,0.45968,0.23935,1.0901,3.19,1.24433,0.000635112,0.000635112,0.000635112
9,31.6834,1.0693,1.81054,1.23585,0.00399,0.88736,0.27291,0.13217,1.64701,3.77192,1.59462,0.000714116,0.000714116,0.000714116
10,34.4022,1.02617,1.81909,1.15694,0.07547,0.81593,0.42286,0.23456,1.5008,3.48542,1.4428,0.00079257,0.00079257,0.00079257
11,37.1175,1.07198,1.7355,1.20986,0.58838,0.19395,0.42214,0.23858,1.50509,3.30543,1.44925,0.000870474,0.000870474,0.000870474
12,39.8573,1.07452,1.72409,1.23521,0.57148,0.33814,0.51087,0.20299,1.71102,3.31842,1.62967,0.000947828,0.000947828,0.000947828
13,42.5858,1.0066,1.68264,1.16359,0.40124,0.33791,0.42015,0.23875,1.50948,3.24504,1.49469,0.00102463,0.00102463,0.00102463
14,45.3037,1.15745,1.72539,1.27716,0.45942,0.44335,0.33549,0.1636,1.84157,3.64748,1.64651,0.00110089,0.00110089,0.00110089
15,48.0242,1.09646,1.75571,1.25755,0.32747,0.5522,0.31347,0.14705,1.6662,4.01279,1.59774,0.00117659,0.00117659,0.00117659
16,50.6925,1.09297,1.60088,1.19235,0.24244,0.52198,0.25317,0.09834,1.95883,3.99789,1.89858,0.00125174,0.00125174,0.00125174
17,53.4211,1.09671,1.58922,1.18426,0.41469,0.58008,0.38609,0.19064,1.66229,3.55938,1.77138,0.00132635,0.00132635,0.00132635
18,56.0888,1.08043,1.62371,1.22451,0.34977,0.62057,0.42172,0.17449,2.3907,4.07424,2.71587,0.0014004,0.0014004,0.0014004
19,58.779,1.07389,1.5885,1.18487,0.56476,0.36064,0.4527,0.22024,1.95781,3.29786,2.27658,0.0014739,0.0014739,0.0014739
20,61.5092,1.11467,1.50295,1.19571,0.40015,0.28846,0.28678,0.13134,1.9983,3.73438,2.01452,0.00154685,0.00154685,0.00154685
21,64.1802,1.02403,1.55273,1.17373,0.36151,0.44231,0.36247,0.17237,1.95376,3.36068,1.97596,0.00155698,0.00155698,0.00155698
22,66.8177,1.09291,1.61326,1.20185,0.39841,0.42037,0.30488,0.12263,2.20759,3.70221,2.22686,0.00155148,0.00155148,0.00155148
23,69.4568,1.10678,1.48708,1.17661,0.31982,0.65293,0.40732,0.16939,1.62338,3.79795,1.62262,0.00154598,0.00154598,0.00154598
24,72.0821,1.10411,1.54673,1.21826,0.62703,0.58029,0.60587,0.36506,1.27693,2.98223,1.42697,0.00154047,0.00154047,0.00154047
25,74.7251,0.97261,1.44304,1.16569,0.80697,0.51701,0.69259,0.41661,1.35644,3.30214,1.51292,0.00153497,0.00153497,0.00153497
26,77.3699,1.05841,1.4176,1.17007,0.78487,0.54474,0.60707,0.39514,1.30827,3.10227,1.41239,0.00152947,0.00152947,0.00152947
27,80.0312,0.98086,1.38377,1.15108,0.57826,0.65934,0.65114,0.41374,1.23524,2.86465,1.33144,0.00152397,0.00152397,0.00152397
