epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5099,1.07543,3.09679,1.27924,0.0045,1,0.43183,0.2965,0.6813,3.10308,0.93968,0.00015003,0.00015003,0.00015003
2,23.22,1.00631,2.45302,1.20562,0.00421,0.92308,0.49334,0.35822,0.89462,2.88383,1.08994,0.000311504,0.000311504,0.000311504
3,31.6485,1.04046,2.29448,1.25408,0.5087,0.2967,0.39006,0.19435,1.38501,2.88842,1.32423,0.000467477,0.000467477,0.000467477
4,40.6614,1.08528,2.10168,1.20436,0.43691,0.15501,0.35886,0.17901,1.52853,3.00588,1.37797,0.000617949,0.000617949,0.000617949
5,49.3204,1.04779,2.06661,1.14698,0.47361,0.44231,0.50628,0.35007,1.0585,2.5006,1.15186,0.000762919,0.000762919,0.000762919
6,58.0151,1.06063,1.99509,1.22127,0.33489,0.44231,0.45432,0.30291,1.03116,2.39097,1.10302,0.000902389,0.000902389,0.000902389
7,66.9831,1.13256,1.99729,1.22306,0.34385,0.5522,0.37182,0.23749,1.0883,2.55998,1.16944,0.00103636,0.00103636,0.00103636
8,76.197,1.18921,2.07979,1.30145,0.36906,0.36813,0.34178,0.17734,1.45709,2.48291,1.46683,0.00116482,0.00116482,0.00116482
9,84.2581,1.07318,1.98164,1.20321,0.53913,0.37363,0.32909,0.19961,1.65467,2.67458,1.59627,0.00128779,0.00128779,0.00128779
10,93.3828,1.16163,2.07752,1.23386,0.36859,0.54044,0.47608,0.30661,1.29967,2.35589,1.40584,0.00140526,0.00140526,0.00140526
11,101.917,1.20218,2.01607,1.35612,0.52033,0.53428,0.6163,0.39702,1.14937,2.10103,1.29618,0.00139195,0.00139195,0.00139195
12,110.674,1.09943,1.90222,1.18356,0.54439,0.70148,0.71797,0.46523,1.12617,2.03977,1.2443,0.00136444,0.00136444,0.00136444
13,119.282,1.10564,1.87424,1.29618,0.74781,0.47497,0.60725,0.45732,0.95867,2.50493,1.13405,0.00133693,0.00133693,0.00133693
14,128.524,1.05556,1.71393,1.21543,0.44799,0.66679,0.57787,0.39769,1.01791,3.23127,1.15561,0.00130943,0.00130943,0.00130943
15,136.969,1.15343,1.83331,1.28302,0.48571,0.59379,0.54789,0.36382,1.11553,2.40971,1.1846,0.00128192,0.00128192,0.00128192
16,146.178,1.21019,1.70756,1.27355,0.35525,0.70844,0.44431,0.30066,1.03871,2.24592,1.12344,0.00125442,0.00125442,0.00125442
17,154.592,1.13848,1.68468,1.21755,0.4968,0.66428,0.45464,0.2893,1.14481,2.21774,1.11865,0.00122691,0.00122691,0.00122691
18,163.485,1.12729,1.78421,1.26654,0.34958,0.69983,0.49122,0.31655,1.26549,2.21945,1.16836,0.00119941,0.00119941,0.00119941
19,172.166,1.1037,1.67921,1.21796,0.36553,0.76828,0.56229,0.3657,1.22682,2.21623,1.15851,0.0011719,0.0011719,0.0011719
20,181.525,1.11551,1.7255,1.20651,0.41916,0.77747,0.61925,0.36916,1.20498,2.08357,1.1423,0.0011444,0.0011444,0.0011444
21,190.356,1.0132,1.54226,1.15347,0.79071,0.50611,0.65023,0.40966,0.97543,2.14643,1.03896,0.00111689,0.00111689,0.00111689
22,198.86,1.01481,1.44212,1.16292,0.62378,0.73626,0.72776,0.46141,0.97706,1.87384,1.05155,0.00108938,0.00108938,0.00108938
23,207.503,1.02552,1.50723,1.13488,0.66491,0.75287,0.71586,0.492,0.92233,1.68512,1.04397,0.00106188,0.00106188,0.00106188
24,215.957,1.07006,1.42734,1.14626,0.77936,0.67149,0.75789,0.49062,0.99574,1.71528,1.07312,0.00103437,0.00103437,0.00103437
25,224.118,1.03103,1.43507,1.14798,0.83103,0.64138,0.72748,0.43725,1.052,1.86476,1.09455,0.00100687,0.00100687,0.00100687
26,233.337,1.03686,1.41756,1.16271,0.69579,0.43132,0.54861,0.34732,1.15295,2.31354,1.2292,0.000979362,0.000979362,0.000979362
27,242.148,1.03496,1.37248,1.17137,0.78867,0.42983,0.53609,0.35726,1.06654,2.26109,1.12105,0.000951857,0.000951857,0.000951857
28,250.408,0.98572,1.39623,1.15941,0.67741,0.50549,0.57346,0.4169,1.01345,2.19483,1.09676,0.000924352,0.000924352,0.000924352
